abandon
demimonde
demur
demurral
denigrate
denounce
denunciation
depredate
deride
derision
derivative
descry
desecrate
desiccate
desultory
deterrent
deviance
deviation
diadem
diaphanous
diatribe
diazepam
dichotomy
dictum
diffidence
diffident
diffuse
digress
digression
dilate
dilatory
dilettante
dirge
disabuse
discern
discerning
discomfit
discommode
discordant
discourse
discredit
discrepancy
discrete
discretion
disingenuous
disinterest
disinterested
disjointed
dismiss
disparage
disparate
dispersed
disquiet
dissemble
disseminate
dissertation
dissipate
dissolution
dissonance
distaff
distend
distention
distill
dither
diurnal
diverge
divest
divine
doctrinaire
document
doff
doggerel
dogma
dogmatic
dolorous
dormant
dossier
draconian
droll
dulcet
dupe
dyspeptic
ebullient
eccentric
eclectic
edacious
edify
effete
efficacy
effigy
effrontery
elegy
elf
elicit
elliptical
eloquent
embellish
empirical
emulate
encomium
endemic
enervate
enfeoff
engender
enhance
enigma
enigmatic
ennui
ensconce
ensnare
ensue
ensure
entrench
enumerate
ephemeral
epicene
epicure
epitome
equanimity
equivocal
equivocate
eradicate
erratic
ersatz
erudite
escarpment
eschew
esculent
esoteric
espy
estimable
ethnocentric
ethos
etiolate
eulogy
euphemism
euphony
euthenics
evacuant
evanescent
evince
exacerbate
exculpate
exemplar
exigency
exigent
exonerate
expel
explicit
exponent
expurgate
extemporaneous
extend
extirpate
extraneous
extrapolation
extravagance
fabric
facetious
facilitate
fallacious
fallacy
fallow
fanatical
faradic
fatuous
fauna
fawn
fealty
feckless
fecund
feign
felicitous
feral
fervid
fervor
fetid
fetter
fey
fidelity
fiesta
filial
finesse
flag
flagellate
flamboyant
fledgling
florid
flourish
flout
fluke
fodder
foment
forage
foray
ford
forestall
forfeit
forswear
fortuitous
forward
foursquare
fractious
fraud
frenetic
frill
frisky
frugality
furtive
fusillade
fustian
futile
gaily
gainsay
galoot
galvanize
gambol
gamin
gamut
garner
garrulous
genteel
gerrymander
gestalt
gestation
gesticulate
gird
glean
glib
glower
glut
goad
gouge
gradation
grandiloquent
gratuitous
gravity
gregarious
grievous
grig
grimace
grouch
grovel
gruffness
guile
guileless
guise
gullible
halitosis
hapless
happenstance
harangue
harbinger
hegemony
hegira
herald
heresy
heretical
hermetic
heterogeneous
hiatus
hidebound
hierarchy
histrionic
hoary
homage
homeopathy
homogeneous
homologate
hortative
hospice
hubris
hugger
hull
humdrum
husband
husbandry
hyperbole
iconoclast
iconoclastic
idiosyncrasy
idolatry
ignoble
ignominious
illusory
imago
imbroglio
imbue
immaterial
imminent
immure
immutable
impair
impasse
impassive
impecunious
impede
imperious
impermeable
imperturbable
impervious
impetuous
impious
implacable
implicit
implode
impose
impotent
imprecation
impudent
impugn
inadvertently
incarnadine
incessant
inchoate
incipient
incongruity
inconsequential
incontrovertible
incorporate
inculcate
indeterminate
indifferent
indigence
indigenous
indigent
indolent
indubitable
ineffable
ineluctable
inept
inert
inexorable
infamy
infuse
ingenue
ingenuity
ingenuous
ingrate
ingratiate
inherent
inhibit
inimical
iniquitous
iniquity
innocuous
inopportune
inquest
inquietude
inquisitive
insensible
insidious
insinuate
insipid
insouciant
instate
insularity
insurrection
intemperance
inter
interregnum
intractable
intransigence
intransigent
intrepid
inundate
inure
inured
invective
inveigh
investiture
inveterate
invidious
invigoration
irascible
irresolute
irreverent
itinerant
itinerary
japery
jargon
jarring
jaunt
jejune
jeopardy
jerry
jettison
jingoism
jocular
judicious
juggernaut
junction
juncture
junta
juxtapose
karma
keen
kindle
kinetic
knell
knoll
kudos
labile
lachrymose
lackluster
laconic
ladle
lambent
lament
lampoon
languid
lapidary
larceny
largess
lassitude
latent
laud
lavish
lax
leery
legacy
legerdemain
leitmotif
lethargic
levee
leviathan
levity
liaison
libation
liberal
libertine
libidinous
licentious
limpid
lionize
lissome
listless
livid
log
lop
lope
loquacious
lucid
lugubrious
lumber
luminary
luminous
lupine
macerate
machination
maelstrom
magnanimity
magnanimous
magnate
malaise
malapropism
malcontent
malediction
malevolent
malfeasance
malinger
malingerer
malleable
manifest
manna
mannered
manque
manumit
mar
marginal
maroon
marrow
marshal
martial
martinet
martyr
matriculate
matrix
maudlin
maverick
meander
melange
mellifluous
membrane
mendacious
mendicant
mercenary
mercurial
meretricious
metamorphosis
metaphor
meticulous
miasma
mien
milieu
militate
minion
mirth
mirthful
misanthrope
miser
missive
mitigate
mollify
molt
monastic
monotonous
monotony
moot
mordant
mores
moribund
morose
mortar
moue
moxie
muckrake
mugwump
mulish
multifarious
mundane
munificent
myopia
myopic
myriad
nabob
nadir
naive
nascent
nave
nefandous
negate
negligent
nemesis
neologism
neophyte
nepotism
nettle
niggardly
nihilism
nimbus
nirvana
noisome
nomadic
nominal
nonplus
nonplused
novel
nuance
nullify
numismatics
obdurate
oblique
obliterate
obloquy
obscure
obsequious
obstinate
obstreperous
obtain
obviate
occlude
odious
odyssey
oeuvre
offal
officious
ogle
oligarchy
omniscient
omnivorous
onerous
onus
opaque
opine
opportunist
opprobrious
opprobrium
opus
orc
orison
orotund
oscillate
osmosis
ossify
ostensible
ostentation
ostentatious
ostracism
oust
overture
overwrought
pace
pachyderm
palatable
palatial
palliate
pallid
palter
paltry
panacea
panache
panegyric
panoply
paradigm
paradox
paragon
paralogism
pare
pariah
parley
parody
paroxysm
parry
parsimonious
partisan
partition
parvenu
pastiche
pathogenic
pathological
patina
patois
paucity
peccadillo
pedant
pedantic
pejorative
pelf
penchant
penultimate
penury
percipience
perdition
peregrinate
peregrination
perennial
perfidious
perfunctory
peripatetic
perjury
permeable
permeate
perorate
perquisite
perspicacious
pertinent
peruse
pervade
pervasive
pettifogger
petulant
phalanx
phantasm
philanthropy
philistine
phlegmatic
piety
pious
piquancy
piquant
pique
pithy
pivotal
placate
placebo
plastic
plasticity
platitude
plausible
plebeian
plenary
plethora
plod
plucky
plummet
pluralism
pluvial
poignant
polemic
politic
poltroon
polyglot
porous
portent
posit
potentate
pragmatic
prattle
preamble
precarious
precept
precipitate
preclude
precursor
preeminence
preempt
pregnant
prepossess
preposterous
prescient
presumption
presumptuous
pretentious
prevaricate
pristine
privation
probity
problematic
proclivity
prodigal
prodigious
profligate
profound
prohibitive
proliferate
prolific
prone
propagate
propensity
propinquity
propitiate
propriety
prosaic
proscenium
proscribe
proselytize
protean
provenance
provincial
provoke
prowess
prudence
prudent
prune
prurient
puckish
puerile
pugilism
puissance
pulchritude
punctilious
pungent
purism
pusillanimous
putrefy
qua
quaint
qualified
qualms
quart
quartet
quatrain
quell
querulous
quibble
quiddity
quiescence
quiescent
quintessential
quisling
quixotic
quotidian
raconteur
raffish
rambunctious
rapprochement
rarefied
rarefy
raucous
reagent
ream
rebuff
rebuke
recalcitrant
recant
recidivism
reciprocal
recluse
reconciliation
recondite
rectify
redoubtable
redress
refractory
refute
rejoinder
relegate
relic
remuneration
repartee
repast
replenish
replete
repletion
repose
reprehensible
reproach
reprobate
reprove
repudiate
requite
rescind
resilient
resolution
resolve
respite
resplendent
restitution
restive
retard
reticent
retinue
reverent
rhapsodize
rhetoric
ribald
rickety
rife
rigidity
robust
rococo
rout
rubric
ruminate
rustic
saccharine
sacrosanct
sagacious
sage
sagittal
salient
sallow
sally
salubrious
sanction
sangfroid
sanguine
saporous
sardonic
sartorial
satiate
satrap
saturate
saturnine
savant
savor
scanty
scarce
scintilla
scintillate
sciolism
scofflaw
scotch
secrete
sedition
senescence
sententious
sentient
sequacious
seraph
seraphic
serenity
serried
serviette
servile
sever
shantung
shard
shibboleth
shoal
shrill
shrivel
shuck
simper
sinecure
sinuous
skein
skeptic
slake
slatternly
slight
sloth
sobriquet
solecism
solicitous
soliloquy
solvent
somber
somnolent
soporific
spartan
spate
specious
spectrum
speculative
spelunker
sporadic
sportive
spurious
squander
stagnate
stalwart
stanza
stasis
static
steadfast
stentorian
stigma
stimulant
stint
stipulate
stoic
stolid
stratagem
striated
strident
strut
stultify
stupor
stymie
subjective
sublime
subpoena
subside
substantiate
subtle
succinct
sully
supercilious
superficial
superfluous
supersede
supervene
supplant
suppliant
supposition
surcease
surfeit
surly
surmise
surreptitious
swath
sybarite
sycophant
syllogism
sylvan
symbiosis
symmetry
syncopation
synergy
synthesis
synthetic
table
tacit
taciturn
tact
talon
tandem
tangential
tatterdemalion
tawdry
tedious
teem
teleology
temerarious
temerity
temper
temperance
temperate
temporize
tenacity
tendentious
tenebrous
tenet
tentative
tenuous
tepid
termagant
terrestrial
terse
theology
thwart
timorous
tintinnabulation
tirade
titular
toady
tome
tonic
tony
toothsome
tor
torpor
tort
tortuous
tout
tractable
tranquil
transfix
transgression
transitory
travesty
treacherous
trenchant
triad
trice
trilemma
trite
trivial
truculence
truculent
tryst
tumid
tumult
turgid
turpitude
tyro
ukase
umbrage
unconscionable
uncouth
undermine
undulate
unequivocal
unfeigned
unfettered
unilateral
upbraid
urbane
usufruct
usurp
usury
vacillate
vacuous
vagary
vainglorious
validity
vapid
variegated
vehement
veneer
venerable
venerate
veneration
veracious
veracity
verbose
verdant
vernal
vestige
vex
vexation
viable
vicarious
vicissitude
vie
vilify
vim
virulent
viscosity
viscous
vital
vitiate
vitriolic
vituperate
vituperative
vivacious
volatile
voluble
votary
vouchsafe
wan
wanton
warranted
wary
wastrel
waver
welter
wheedle
whimsical
wily
winnow
winsome
wistful
wizened
wont
wraith
xenophobia
xerophagy
yoke
zaftig
zeal
zealot
zeitgeist
zenith
zephyr
ziggurat
